age,attrition,businesstravel,dailyrate,distancefromhome,education,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
53,no,travel_rarely,1973.98,5,3,33,3,F,3,5,manager,3,,15943.72,41453.67,4,desconocido,11,3,4,full time,1,26,3,2,14,4,8,1970,191324.62,yes
35,no,,556.26,1,4,34,3,M,2,2,sales executive,1,single,4492.84,11681.39,0,no,14,,2,part time,0,16,2,3,15,2,8,1988,53914.11,no
34,no,travel_rarely,556.26,6,4,35,1,F,3,2,research scientist,3,single,4492.84,11681.39,1,desconocido,14,3,3,,0,16,3,3,16,2,10,1989,53914.11,yes
46,no,travel_rarely,1032.49,1,2,36,2,F,3,3,sales executive,1,divorced,8339.32,21682.23,1,no,25,4,3,part time,3,24,2,3,24,15,7,1977,100071.84,yes
43,no,,1657.4,16,3,37,4,F,3,4,manager,4,married,4492.84,34805.33,5,desconocido,22,4,3,full time,1,22,3,3,17,1,9,1980,160640.0,yes
36,no,,331.19,6,3,38,4,M,3,1,laboratory technician,4,married,2675.0,6955.0,0,desconocido,11,3,3,full time,1,16,4,3,15,10,11,1987,32100.0,yes
60,no,travel_frequently,1059.19,28,3,39,3,F,2,3,sales executive,1,married,8555.0,22243.0,4,no,19,3,4,full time,0,22,5,4,18,13,11,1963,102660.0,yes
40,no,travel_frequently,1080.75,5,4,40,4,M,2,3,sales executive,1,married,8729.17,22695.83,5,yes,21,4,3,full time,1,20,2,3,18,1,12,1983,104750.0,no
32,no,travel_rarely,635.76,4,3,41,3,F,2,2,manufacturing director,3,married,4492.84,13351.0,1,no,12,3,3,full time,1,14,3,3,14,6,8,1991,61620.0,no
41,no,travel_rarely,487.09,35,3,42,35,M,3,1,laboratory technician,1,single,3934.17,10228.83,2,yes,13,,3,full time,0,20,3,3,18,2,17,1982,47210.0,yes
53,no,,1582.77,2,2,43,3,M,3,4,manager,3,divorced,12783.92,33238.2,6,no,13,3,3,full time,1,22,3,4,17,15,2,1970,153407.07,no
36,yes,travel_rarely,290.04,16,4,44,3,F,4,1,laboratory technician,1,single,4492.84,6090.75,1,desconocido,16,3,3,part time,0,18,1,3,17,15,14,1987,28111.13,yes
46,no,,476.15,8,4,45,4,F,2,2,research scientist,1,divorced,3845.83,9999.17,8,yes,23,4,1,part time,3,,2,3,16,1,7,1977,46150.0,no
38,no,travel_rarely,556.26,1,4,46,4,M,3,2,sales executive,2,married,4492.84,11681.39,0,no,15,3,1,,2,16,3,,15,5,8,1985,53914.11,yes
51,no,,1032.49,1,4,47,1,F,2,3,healthcare representative,1,single,8339.32,21682.23,3,desconocido,20,4,3,part time,0,23,1,2,13,12,8,1972,100071.84,yes
43,no,,1749.74,26,2,48,3,M,3,4,manager,4,married,14132.5,36744.5,1,yes,12,3,4,full time,2,25,3,4,25,4,12,1980,169590.0,yes
37,no,,290.04,1,3,49,4,F,3,1,research scientist,4,single,4492.84,6090.75,1,no,12,3,2,part time,0,,3,3,17,5,7,1986,28111.13,yes
32,no,travel_rarely,556.26,8,2,50,3,F,2,2,sales executive,2,married,4492.84,11681.39,1,yes,11,3,4,part time,0,,2,3,13,11,9,1991,53914.11,yes
38,no,,1032.49,1,3,51,4,F,3,3,research director,1,married,8339.32,21682.23,1,desconocido,13,3,2,part time,1,15,3,3,15,5,11,1985,100071.84,no
46,no,,1582.77,3,3,52,3,F,3,4,manager,2,,12783.92,33238.2,8,no,12,3,4,full time,1,23,2,4,13,5,1,1977,153407.07,yes
35,yes,travel_rarely,1063.32,10,3,53,4,M,2,3,sales executive,1,married,8588.33,22329.67,9,desconocido,17,3,3,,0,15,3,,13,6,0,1988,53914.11,no
43,no,,1973.98,6,3,54,1,F,2,5,manager,3,married,15943.72,41453.67,7,no,13,3,4,,0,21,2,3,16,6,14,1980,53914.11,yes
56,no,non-travel,556.26,1,4,55,3,M,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,no,21,,1,,1,,2,2,13,1,9,1967,53914.11,yes
36,no,non-travel,557.76,15,4,56,4,M,1,2,sales executive,4,divorced,4505.0,11713.0,1,no,24,4,1,full time,1,,4,2,15,11,11,1987,54060.0,yes
38,no,,556.26,6,3,57,2,F,1,2,research scientist,4,,4492.84,11681.39,7,desconocido,12,3,4,part time,3,17,3,3,13,1,9,1985,53914.11,yes
49,no,,556.26,26,4,58,3,F,3,2,manufacturing director,1,,4492.84,11681.39,1,no,14,3,3,part time,0,16,2,2,15,5,11,1974,53914.11,no
39,no,travel_rarely,608.94,4,4,59,4,F,2,2,sales executive,3,married,4918.33,12787.67,4,desconocido,14,3,3,full time,1,17,1,4,15,5,9,1984,59020.0,yes
40,no,,1119.96,4,4,60,3,M,2,3,sales executive,4,married,4492.84,23519.17,7,no,11,,1,full time,1,15,2,2,12,2,11,1983,108550.0,yes
36,no,,610.17,5,2,61,4,M,3,2,laboratory technician,2,single,4928.33,12813.67,8,no,16,3,4,full time,0,16,3,4,13,3,7,1987,59140.0,yes
37,no,,556.26,25,5,62,2,F,3,2,research scientist,3,married,4492.84,11681.39,3,yes,15,3,1,,2,15,2,3,13,10,7,1986,53914.11,no
35,no,,685.7,6,4,63,2,M,1,2,research scientist,4,,5538.33,14399.67,1,desconocido,13,3,2,full time,0,,3,3,17,11,8,1988,66460.0,yes
33,no,travel_frequently,556.26,6,3,64,3,M,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,no,23,4,3,part time,1,15,2,1,13,4,7,1990,53914.11,no
50,no,travel_rarely,1441.66,24,3,65,4,M,3,4,manufacturing director,3,married,4492.84,30274.83,3,yes,18,3,4,full time,1,22,2,3,12,1,5,1973,139730.0,no
48,no,travel_rarely,1032.49,4,4,66,3,M,2,3,healthcare representative,3,single,4492.84,21682.23,7,desconocido,14,,2,part time,0,27,3,3,15,4,8,1975,100071.84,yes
44,no,travel_rarely,1374.29,28,3,67,4,F,4,4,sales executive,4,married,11100.0,28860.0,3,desconocido,18,3,3,,1,,2,3,12,11,11,1979,53914.11,yes
44,no,travel_rarely,556.26,29,4,68,4,M,3,2,research scientist,4,single,4492.84,11681.39,1,desconocido,25,4,2,part time,0,,3,3,20,13,17,1979,53914.11,yes
40,no,,556.26,25,1,69,25,F,4,2,healthcare representative,3,,4492.84,11681.39,5,no,20,4,2,part time,3,15,0,3,12,11,8,1983,53914.11,yes
34,no,travel_rarely,689.93,2,4,70,3,F,3,2,healthcare representative,4,single,5572.5,14488.5,1,desconocido,11,3,4,full time,0,14,2,4,14,4,11,1989,66870.0,yes
35,no,non-travel,556.26,8,4,71,3,F,3,2,healthcare representative,3,,4492.84,11681.39,1,desconocido,12,3,4,part time,1,,5,3,14,2,9,1988,53914.11,yes
50,no,,1032.49,17,5,72,4,F,2,3,research director,1,,4492.84,21682.23,5,no,15,3,3,part time,3,,3,3,14,1,11,1973,100071.84,no
49,no,,1582.77,6,1,73,3,F,2,4,healthcare representative,3,,12783.92,33238.2,2,desconocido,19,3,2,full time,1,,3,3,15,2,12,1974,153407.07,yes
38,no,travel_frequently,488.53,1,3,74,4,M,3,2,research scientist,4,,4492.84,10259.17,7,no,15,3,4,part time,2,19,4,,13,2,9,1985,47350.0,yes
33,no,,290.04,21,3,75,2,M,4,1,laboratory technician,2,,4492.84,6090.75,1,no,18,3,4,part time,3,14,6,,14,2,13,1990,28111.13,yes
47,no,travel_rarely,1032.49,4,3,76,3,F,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,yes,12,,3,part time,1,,4,3,22,14,10,1976,100071.84,yes
38,no,,556.26,8,3,77,4,F,2,2,research scientist,2,divorced,4492.84,11681.39,1,desconocido,16,3,3,,1,20,3,3,20,0,7,1985,53914.11,no
37,no,travel_rarely,1032.49,10,3,78,3,F,4,3,research director,4,,8339.32,21682.23,1,yes,25,4,1,part time,1,16,2,3,16,6,8,1986,100071.84,yes
30,no,,556.26,2,3,79,3,M,2,2,healthcare representative,4,married,4492.84,11681.39,1,no,19,,1,part time,3,11,3,3,11,10,8,1993,53914.11,yes
58,no,travel_rarely,1431.24,18,4,80,4,M,3,4,sales executive,3,single,11560.0,30056.0,0,desconocido,13,3,3,full time,0,38,1,2,37,1,8,1965,138720.0,yes
34,no,travel_rarely,1032.49,5,3,81,3,F,2,3,manager,1,single,8339.32,21682.23,2,desconocido,12,3,4,,0,14,6,3,11,5,8,1989,53914.11,no
58,yes,travel_rarely,1032.49,23,4,82,4,F,3,3,healthcare representative,4,married,8339.32,21682.23,1,desconocido,12,3,4,part time,1,40,3,2,40,15,6,1965,100071.84,yes
38,no,,1032.49,3,3,83,1,M,3,3,sales executive,3,divorced,8339.32,21682.23,0,desconocido,12,3,3,,2,,6,2,16,5,13,1985,53914.11,yes
29,no,travel_frequently,1032.49,1,1,84,2,F,3,3,sales executive,4,married,8339.32,21682.23,1,desconocido,14,3,4,part time,1,11,5,3,11,4,1,1994,100071.84,yes
55,no,travel_rarely,1964.96,1,3,85,4,M,3,5,manager,1,single,15870.83,41264.17,0,desconocido,14,3,3,full time,0,37,2,3,36,4,13,1968,190450.0,yes
41,no,,1652.34,10,4,86,4,M,3,4,manager,2,,13345.83,34699.17,1,desconocido,19,3,2,,0,,2,3,22,0,4,1982,53914.11,yes
39,no,travel_rarely,991.82,1,3,87,3,M,4,3,healthcare representative,4,,8010.83,20828.17,0,no,17,,1,part time,3,19,5,2,18,3,7,1984,96130.0,no
38,no,,1187.54,15,2,88,3,M,2,3,research director,4,,4492.84,24938.33,0,desconocido,14,3,2,full time,1,,3,3,11,2,9,1985,115100.0,yes
43,no,,1582.77,12,3,89,1,M,2,4,research director,2,,12783.92,33238.2,1,no,11,3,3,full time,1,,3,,25,3,9,1980,153407.07,yes
31,no,,444.27,30,2,90,2,F,3,2,manufacturing director,1,married,3588.33,9329.67,1,no,12,3,2,,1,13,5,1,13,3,12,1992,53914.11,yes
50,no,travel_rarely,1758.71,27,4,91,27,M,2,4,manager,3,married,14205.0,36933.0,0,no,15,3,2,full time,1,28,2,3,27,15,7,1973,170460.0,yes
35,no,,1032.49,25,3,92,4,M,2,3,manufacturing director,2,married,8339.32,21682.23,3,no,16,,1,part time,0,,2,3,13,4,8,1988,100071.84,no
47,no,,522.79,16,4,93,3,M,4,2,manufacturing director,3,,4222.5,10978.5,1,yes,19,3,3,,0,20,3,,19,2,7,1976,53914.11,yes
35,no,,1032.49,25,4,94,3,F,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,yes,11,,3,part time,1,,3,2,16,10,1,1988,100071.84,yes
40,no,travel_rarely,1032.49,20,4,95,1,M,3,3,healthcare representative,4,married,4492.84,21682.23,4,desconocido,20,4,4,part time,1,14,6,3,11,11,1,1983,100071.84,yes
45,no,,556.26,9,4,96,2,F,2,2,sales executive,3,married,4492.84,11681.39,1,desconocido,13,3,4,part time,1,15,2,3,15,4,12,1978,53914.11,no
33,no,,290.04,9,3,97,1,M,3,1,research scientist,4,married,4492.84,6090.75,0,desconocido,13,3,2,,1,15,5,3,14,4,10,1990,28111.13,no
36,no,travel_frequently,380.92,3,3,98,3,M,3,1,research scientist,2,married,3076.67,7999.33,1,no,12,3,3,full time,0,12,2,2,11,0,7,1987,36920.0,no
45,yes,,1973.98,13,3,99,1,F,1,5,manager,2,,15943.72,41453.67,2,yes,16,3,1,full time,0,26,2,3,24,1,11,1978,191324.62,yes
51,no,travel_frequently,2047.71,27,3,100,27,M,3,5,manager,2,,4492.84,43001.83,4,yes,24,,1,full time,1,,5,2,29,11,10,1972,198470.0,no
34,no,travel_rarely,238.13,7,2,101,2,M,3,1,sales representative,3,,4492.84,5000.67,0,yes,25,4,2,part time,1,12,4,3,11,5,7,1989,23080.0,no
43,no,travel_rarely,1582.77,15,2,102,3,M,2,4,research director,3,,4492.84,33238.2,1,no,24,4,1,full time,1,,3,3,14,6,11,1980,153407.07,yes
34,no,,556.26,5,2,103,2,M,2,2,laboratory technician,4,,4492.84,11681.39,1,no,14,3,3,part time,1,,3,,15,4,13,1989,53914.11,no
38,no,,290.04,2,3,104,1,M,3,1,human resources,2,divorced,2342.59,6090.75,5,no,13,3,4,part time,3,13,3,3,11,3,8,1985,28111.13,yes
48,no,,1973.98,10,3,105,4,M,2,5,research director,2,,4492.84,41453.67,4,no,12,3,4,full time,0,29,3,3,22,12,9,1975,191324.62,no
34,no,,592.94,22,4,106,3,M,2,2,research scientist,4,married,4789.17,12451.83,1,yes,15,3,2,full time,0,16,3,3,15,6,11,1989,57470.0,no
32,no,travel_rarely,1075.29,31,4,107,31,F,3,3,sales executive,4,,8685.0,22581.0,1,no,19,3,3,full time,2,14,3,3,14,5,7,1991,104220.0,yes
29,no,travel_rarely,1032.49,21,4,108,2,F,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,no,11,3,3,,1,10,1,3,10,8,8,1994,53914.11,no
46,no,,1032.49,1,3,109,3,M,2,3,healthcare representative,1,married,4492.84,21682.23,2,yes,13,3,3,,1,21,5,2,10,9,5,1977,100071.84,no
30,no,,654.85,9,3,110,3,M,3,2,human resources,4,married,5289.17,13751.83,0,yes,19,3,4,full time,0,,2,1,11,4,7,1993,63470.0,no
45,no,,242.25,9,3,111,2,M,3,2,laboratory technician,2,,1956.67,5087.33,8,no,18,3,3,part time,1,20,2,,17,0,15,1978,23480.0,yes
30,no,travel_rarely,1032.49,5,3,112,2,F,3,3,sales executive,4,,8339.32,21682.23,2,no,12,3,3,part time,1,,2,3,10,7,4,1993,100071.84,yes
30,no,,316.95,9,3,113,3,M,3,2,laboratory technician,1,,4492.84,6656.0,1,no,11,,3,part time,2,12,4,3,12,6,10,1993,30720.0,yes
34,no,travel_frequently,556.26,29,1,114,4,M,2,2,manufacturing director,3,married,4492.84,11681.39,1,desconocido,17,3,3,,0,10,2,2,10,1,9,1989,53914.11,no
51,no,travel_rarely,1288.65,8,4,115,2,M,2,3,research director,2,married,10408.33,27061.67,5,no,16,3,4,full time,2,16,5,1,10,4,7,1972,124900.0,no
34,no,,556.26,39,4,116,39,M,2,2,manufacturing director,1,,4492.84,11681.39,6,desconocido,13,3,2,part time,1,13,3,3,11,5,9,1989,53914.11,yes
35,no,travel_rarely,827.46,16,3,117,3,M,3,3,sales executive,2,married,6683.33,17376.67,0,desconocido,15,3,3,part time,2,12,3,2,11,6,9,1988,80200.0,yes
45,no,travel_frequently,1032.49,7,3,118,1,M,3,3,laboratory technician,1,,8339.32,21682.23,1,desconocido,18,3,1,part time,1,24,2,3,24,9,11,1978,100071.84,yes
39,no,,1760.98,10,1,119,3,M,3,4,manager,1,married,4492.84,36980.67,1,desconocido,14,,4,full time,0,21,3,3,21,11,10,1984,170680.0,yes
31,no,,922.69,7,2,120,3,F,2,3,manufacturing director,3,married,7452.5,19376.5,1,no,24,4,1,part time,1,10,2,3,10,8,9,1992,89430.0,no
39,no,,1988.38,7,2,121,3,M,2,5,manager,4,married,16060.0,41756.0,1,desconocido,15,3,1,full time,1,,2,3,21,13,3,1984,192720.0,yes
45,no,travel_rarely,556.26,8,4,122,4,M,3,2,research scientist,4,,4492.84,11681.39,9,no,14,3,1,part time,2,12,3,3,10,9,8,1978,53914.11,yes
30,no,travel_rarely,556.26,5,3,123,4,F,2,2,sales executive,3,,4492.84,11681.39,1,desconocido,13,3,3,,3,10,2,3,10,1,2,1993,53914.11,yes
31,no,,1032.49,7,4,124,3,F,3,3,manufacturing director,4,,8339.32,21682.23,1,desconocido,14,3,3,part time,0,11,2,2,11,4,10,1992,100071.84,no
36,no,,1032.49,3,4,125,1,M,2,3,sales executive,4,married,8339.32,21682.23,4,no,11,3,1,part time,1,16,2,3,13,1,12,1987,100071.84,yes
36,no,travel_rarely,1032.49,2,2,126,2,M,2,3,sales executive,3,married,4492.84,21682.23,1,desconocido,13,3,2,part time,2,10,2,3,10,9,0,1987,100071.84,yes
55,no,travel_rarely,1582.77,18,5,127,1,F,3,4,manager,2,single,12783.92,33238.2,3,no,23,4,4,full time,0,37,2,3,10,7,7,1968,153407.07,yes
35,no,,556.26,1,3,128,2,M,3,2,sales executive,3,,4492.84,11681.39,9,desconocido,11,3,3,part time,0,15,2,3,11,6,9,1988,53914.11,yes
42,no,travel_rarely,1032.49,24,3,129,4,M,3,3,manufacturing director,1,married,8339.32,21682.23,1,desconocido,21,4,4,part time,1,10,5,2,10,5,8,1981,100071.84,no
52,no,travel_rarely,575.4,6,2,130,4,M,3,2,research scientist,1,divorced,4647.5,12083.5,3,yes,12,,2,full time,2,18,3,3,10,6,9,1971,55770.0,yes
49,no,,1973.98,18,4,131,4,M,2,5,research director,3,,4492.84,41453.67,1,yes,17,3,3,full time,1,,5,3,31,0,9,1974,191324.62,yes
34,no,travel_rarely,277.64,1,5,132,2,M,3,1,research scientist,4,married,2242.5,5830.5,1,no,12,3,4,part time,1,,4,2,10,8,8,1989,26910.0,yes
33,yes,travel_rarely,290.04,1,4,133,4,M,3,1,research scientist,4,single,2342.59,6090.75,1,desconocido,13,3,3,part time,0,10,2,2,10,7,8,1990,28111.13,no
33,no,,1032.49,7,3,134,3,M,3,3,research director,3,married,8339.32,21682.23,0,no,11,3,4,,0,,3,4,13,3,7,1990,53914.11,yes
53,no,travel_rarely,1582.77,23,4,135,4,F,3,4,research director,4,,12783.92,33238.2,6,no,18,3,3,full time,0,33,0,3,12,3,8,1970,153407.07,yes
49,no,travel_rarely,763.8,8,2,136,1,F,3,3,laboratory technician,2,married,6169.17,16039.83,4,desconocido,11,3,3,part time,1,29,3,2,26,1,7,1974,74030.0,no
35,no,,1032.49,21,4,137,21,M,3,3,sales executive,4,,4492.84,21682.23,6,desconocido,13,3,2,part time,1,,2,3,10,0,8,1988,100071.84,no
38,no,travel_rarely,910.31,17,1,138,3,F,2,3,healthcare representative,3,married,7352.5,19116.5,0,desconocido,18,3,1,part time,1,20,4,2,19,1,9,1985,88230.0,no
46,no,,1582.77,3,1,139,1,M,3,4,manager,3,married,12783.92,33238.2,3,no,12,3,4,full time,1,,3,3,12,4,9,1977,153407.07,no
36,no,non-travel,556.26,18,4,140,1,M,3,2,manufacturing director,4,single,4492.84,11681.39,2,desconocido,20,4,1,part time,0,18,0,3,11,0,9,1987,53914.11,no
42,yes,travel_frequently,1582.77,15,3,141,15,M,3,4,sales executive,1,single,4492.84,33238.2,0,desconocido,12,,2,full time,0,,2,2,21,13,14,1981,153407.07,yes
34,no,travel_frequently,556.26,1,3,142,4,M,2,2,healthcare representative,1,single,4492.84,11681.39,0,no,20,4,3,,0,14,3,3,13,4,9,1989,53914.11,yes
30,no,travel_rarely,369.26,1,3,143,4,M,3,1,research scientist,2,,2982.5,7754.5,0,yes,21,4,1,,1,12,2,3,11,5,7,1993,35790.0,yes
54,no,travel_rarely,1834.34,3,3,144,4,M,3,4,research director,4,married,14815.83,38521.17,3,no,14,3,1,full time,0,36,2,3,10,0,9,1969,177790.0,yes
31,no,travel_rarely,556.26,24,3,145,3,F,2,2,healthcare representative,1,single,4492.84,11681.39,1,no,19,,2,part time,0,10,2,3,10,1,8,1992,53914.11,no
44,no,,1879.12,5,3,146,2,M,3,5,manager,2,married,15177.5,39461.5,7,no,11,3,3,full time,1,26,5,3,22,3,10,1979,182130.0,yes
55,no,non-travel,1400.8,8,1,147,4,M,2,4,healthcare representative,2,divorced,4492.84,29416.83,1,yes,15,3,4,full time,1,,3,3,33,15,0,1968,135770.0,no
44,no,travel_rarely,1979.92,4,2,148,3,M,4,5,manager,1,divorced,15991.67,41578.33,1,no,14,3,4,full time,2,,4,2,25,14,13,1979,191900.0,no
34,no,travel_frequently,556.26,11,3,149,3,M,2,2,human resources,2,,4492.84,11681.39,4,no,11,3,4,,2,14,5,4,10,1,8,1989,53914.11,yes
39,no,,1766.66,13,4,150,3,F,2,4,manager,2,divorced,4492.84,37099.83,6,yes,13,3,4,full time,2,,4,3,19,15,2,1984,171230.0,no
55,no,travel_rarely,1979.61,2,2,151,4,F,1,5,manager,3,,15989.17,41571.83,4,desconocido,14,,4,full time,1,23,5,3,19,9,11,1968,191870.0,yes
51,no,,1582.77,5,3,152,3,M,3,4,manager,2,,12783.92,33238.2,1,desconocido,11,3,2,full time,1,,2,3,33,0,10,1972,153407.07,yes
58,yes,,1032.57,14,4,153,14,F,2,3,manufacturing director,1,married,8340.0,21684.0,7,desconocido,14,3,4,,0,,0,2,10,5,9,1965,53914.11,yes
48,no,,1032.49,4,3,154,4,M,3,3,manufacturing director,4,single,8339.32,21682.23,1,no,11,3,3,part time,0,11,2,3,10,0,8,1975,100071.84,yes
29,no,travel_rarely,824.16,17,3,155,2,M,2,3,human resources,1,single,6656.67,17307.33,1,desconocido,13,3,1,part time,0,,3,2,10,0,9,1994,79880.0,no
34,no,,556.26,3,3,156,4,M,1,2,sales executive,1,single,4492.84,11681.39,3,no,18,,4,part time,0,15,2,3,13,3,12,1989,53914.11,yes
42,no,travel_frequently,290.04,9,2,157,1,F,3,1,laboratory technician,4,,2342.59,6090.75,1,desconocido,13,3,3,,0,12,3,3,12,5,8,1981,53914.11,yes
57,no,travel_rarely,556.26,1,2,158,2,M,4,2,research scientist,3,married,4492.84,11681.39,0,no,24,4,1,part time,1,13,2,2,12,2,8,1966,53914.11,yes
34,yes,travel_rarely,556.26,24,4,159,1,F,2,2,sales executive,2,single,4492.84,11681.39,0,yes,23,4,3,part time,0,16,2,4,15,10,10,1989,53914.11,no
54,no,travel_frequently,1582.77,11,4,160,2,F,3,4,manager,4,,12783.92,33238.2,3,no,20,,1,,1,26,2,3,14,1,12,1969,53914.11,yes
34,no,travel_rarely,730.79,1,3,161,4,M,2,3,sales executive,3,,5902.5,15346.5,1,desconocido,14,3,4,part time,0,,3,3,10,8,6,1989,70830.0,no
29,no,,487.29,3,1,162,2,M,3,1,laboratory technician,1,single,3935.83,10233.17,1,desconocido,18,3,4,,0,,3,,10,1,5,1994,53914.11,yes
